1713785255.000000, 1713785255.000000, 1713785255.000000
32.000000, 32.000000, 32.000000
-28,-2,57
-28,-2,57
-29,-2,57
-29,-2,57
-29,-2,57
-29,-2,57
-28,-2,57
-28,-2,56
-28,-2,56
-28,-2,56
-28,-2,56
-28,-2,57
-28,-2,56
-28,-2,57
-28,-3,57
-28,-3,58
-28,-4,57
-28,-4,58
-29,-4,58
-29,-4,58
-28,-4,58
-28,-4,57
-28,-4,58
-28,-4,57
-27,-4,57
-27,-4,56
-27,-3,57
-27,-3,57
-27,-3,57
-27,-3,57
-26,-3,57
-27,-3,57
-27,-3,58
-27,-4,58
-27,-4,58
-28,-4,58
-28,-4,58
-28,-4,58
-28,-4,58
-28,-4,58
-27,-4,58
-27,-4,58
-26,-4,57
-26,-5,57
-26,-4,57
-25,-4,57
-25,-4,57
-26,-4,57
-26,-4,57
-26,-4,57
-27,-4,58
-27,-3,58
-27,-4,58
-27,-4,58
-27,-4,59
-27,-4,58
-27,-5,58
-27,-4,58
-27,-4,58
-27,-4,57
-27,-4,57
-27,-4,57
-27,-3,57
-27,-4,57
-26,-4,57
-26,-4,57
-26,-4,57
-27,-4,58
-27,-4,58
-28,-4,57
-28,-5,58
-29,-4,57
-28,-4,57
-28,-4,57
-28,-4,57
-28,-4,57
-28,-4,57
-27,-4,58
-27,-5,58
-28,-4,58
-28,-4,58
-28,-4,57
-27,-4,57
-28,-3,56
-27,-2,55
-27,-2,54
-27,-3,56
-27,-2,58
-27,-2,58
-28,-1,57
-28,-1,56
-28,-2,56
-28,-2,56
-28,-2,57
-27,-2,58
-27,-1,57
-27,-1,55
-25,-1,55
-29,-2,57
-28,-2,58
-29,-2,58
-28,-2,58
-28,-2,58
-28,-2,58
-27,-2,56
-27,-2,56
-26,-2,57
-26,-3,57
-25,-3,56
-24,-4,58
-25,-4,58
-27,-5,58
-28,-6,59
-31,-7,59
-24,-5,60
-25,-4,58
-26,-3,57
-25,-3,57
-25,-4,56
-25,-3,57
-25,-3,58
-25,-3,58
-26,-3,58
-27,-4,58
-27,-4,58
-27,-4,59
-28,-3,56
-29,-3,56
-28,-3,56
-28,-4,57
-27,-5,58
-27,-5,58
-27,-5,58
-27,-4,58
-27,-3,57
-27,-3,57
-27,-4,57
-27,-4,57
-27,-4,58
-27,-4,58
-27,-3,57
-26,-3,57
-26,-2,57
-26,-2,58
-27,-2,58
-27,-3,58
-27,-3,58
-27,-3,58
-27,-3,57
-27,-3,57
-26,-3,57
-27,-2,57
-26,-3,57
-26,-2,58
-26,-3,58
-27,-3,57
-26,-3,57
-26,-3,57
-26,-3,57
-26,-2,57
-27,-1,56
-26,-2,58
-25,-2,59
-25,-2,59
-26,-3,59
-26,-4,59
-26,-4,59
-27,-4,58
-27,-4,59
-27,-4,58
-27,-4,58
-27,-4,57
-26,-3,57
-26,-3,58
-26,-4,58
-26,-4,58
-26,-4,58
-26,-4,58
-26,-4,58
-27,-4,57
-27,-4,57
-27,-3,57
-27,-3,57
-26,-3,57
